Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-08-05 09:15:00,149.0,149.0,112.45,114.2,1143480,1126190,24646.15,0.01643835616438356,,,,,
2026-08-05 09:16:00,114.25,124.6,108.5,118.8,1372605,1126190,24648.15,0.01643835616438356,,,,,
2026-08-05 09:17:00,119.05,119.7,114.0,116.65,644150,1398280,24643.4,0.01643835616438356,,,,,
2026-08-05 09:18:00,116.3,116.55,111.5,115.05,532740,1660230,24643.25,0.01643835616438356,,,,,
2026-08-05 09:19:00,115.05,119.0,114.1,117.0,575055,1858675,24636.2,0.01643835616438356,,,,,
2026-08-05 09:20:00,117.05,117.8,115.0,116.1,597870,2098980,24635.85,0.01643835616438356,,,,,
2026-08-05 09:21:00,116.3,117.95,114.3,116.1,449215,2098980,24638.25,0.01643835616438356,,,,,
2026-08-05 09:22:00,116.15,122.8,115.65,122.0,751335,2238275,24626.1,0.01643835616438356,,,,,
2026-08-05 09:23:00,122.4,129.2,121.7,126.95,1389050,2278835,24622.6,0.01643835616438356,,,,,
2026-08-05 09:24:00,126.9,128.8,125.8,127.5,627575,2278835,24626.1,0.01643835616438356,,,,,
2026-08-05 09:25:00,127.15,133.75,126.0,130.8,1169155,2304380,24621.8,0.01643835616438356,,,,,
2026-08-05 09:26:00,130.85,137.0,130.45,135.0,1196585,2475590,24612.15,0.01643835616438356,,,,,
2026-08-05 09:27:00,135.4,137.0,130.2,134.75,826605,2475590,24614.35,0.01643835616438356,,,,,
2026-08-05 09:28:00,134.75,135.95,132.4,133.85,399685,2533050,24618.4,0.01643835616438356,,,,,
2026-08-05 09:29:00,133.7,134.5,129.05,131.4,500955,2612935,24621.4,0.01643835616438356,,,,,
2026-08-05 09:30:00,131.45,143.55,130.3,143.55,1244685,2662010,24606.75,0.01643835616438356,,,,,
2026-08-05 09:31:00,143.6,143.6,136.05,138.0,897975,2835235,24612.75,0.01643835616438356,,,,,
2026-08-05 09:32:00,138.1,138.25,132.0,132.55,515710,2807805,24621.45,0.01643835616438356,,,,,
2026-08-05 09:33:00,132.8,138.1,132.25,134.3,407875,2807805,24620.15,0.01643835616438356,,,,,
2026-08-05 09:34:00,134.3,139.8,133.25,138.25,438425,2875405,24610.65,0.01643835616438356,,,,,
2026-08-05 09:35:00,138.5,140.6,136.8,138.75,584155,2944565,24610.75,0.01643835616438356,,,,,
2026-08-05 09:36:00,138.85,139.2,135.5,138.3,314600,3063255,24608.45,0.01643835616438356,,,,,
