Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-09-04 09:15:00,15.9,15.95,15.45,15.95,81375,3577875,432.65,0.0684931506849315,,,,,
2026-09-04 09:16:00,16.25,16.35,15.05,15.2,86625,3567375,431.25,0.0684931506849315,,,,,
2026-09-04 09:17:00,14.25,14.75,14.1,14.75,55125,3598875,430.75,0.0684931506849315,,,,,
2026-09-04 09:18:00,15.15,15.15,15.15,15.15,10500,3596250,431.5,0.0684931506849315,,,,,
2026-09-04 09:19:00,15.15,15.4,15.15,15.4,23625,3601500,431.5,0.0684931506849315,,,,,
2026-09-04 09:20:00,15.25,15.25,15.0,15.0,28875,3609375,430.7,0.0684931506849315,,,,,
2026-09-04 09:21:00,14.9,14.9,14.8,14.8,26250,3601500,430.5,0.0684931506849315,,,,,
2026-09-04 09:22:00,14.8,14.9,14.8,14.9,10500,3601500,431.1,0.0684931506849315,,,,,
2026-09-04 09:23:00,15.2,15.2,15.2,15.2,21000,3593625,431.3,0.0684931506849315,,,,,
2026-09-04 09:24:00,15.4,15.4,15.2,15.2,18375,3596250,431.5,0.0684931506849315,,,,,
2026-09-04 09:25:00,15.65,16.0,15.6,16.0,55125,3593625,432.6,0.0684931506849315,,,,,
2026-09-04 09:26:00,16.0,16.0,16.0,16.0,52500,3588375,432.85,0.0684931506849315,,,,,
2026-09-04 09:27:00,15.3,15.4,15.3,15.4,57750,3604125,432.0,0.0684931506849315,,,,,
2026-09-04 09:28:00,15.2,15.2,15.2,15.2,31500,3598875,431.1,0.0684931506849315,,,,,
2026-09-04 09:29:00,14.8,15.0,14.8,15.0,23625,3617250,431.05,0.0684931506849315,,,,,
2026-09-04 09:30:00,15.15,15.85,15.15,15.85,70875,3617250,432.95,0.0684931506849315,,,,,
2026-09-04 09:31:00,15.65,16.05,15.65,16.05,36750,3601500,433.0,0.0684931506849315,,,,,
2026-09-04 09:32:00,15.6,15.6,15.6,15.6,7875,3601500,432.45,0.0684931506849315,,,,,
2026-09-04 09:33:00,15.9,15.9,15.9,15.9,18375,3596250,433.05,0.0684931506849315,,,,,
2026-09-04 09:34:00,16.25,16.25,16.2,16.2,91875,3601500,433.25,0.0684931506849315,,,,,
2026-09-04 09:35:00,16.3,16.85,16.3,16.8,173250,3604125,434.05,0.0684931506849315,,,,,
2026-09-04 09:36:00,16.9,16.9,16.5,16.9,84000,3593625,434.7,0.0684931506849315,,,,,
2026-09-04 09:37:00,16.9,17.1,16.9,17.1,55125,3572625,434.6,0.0684931506849315,,,,,
2026-09-04 09:38:00,17.1,17.7,17.1,17.7,170625,3533250,435.7,0.0684931506849315,,,,,
2026-09-04 09:39:00,17.85,17.85,17.35,17.45,91875,3509625,435.45,0.0684931506849315,,,,,
2026-09-04 09:40:00,17.3,17.3,17.05,17.05,42000,3504375,434.95,0.0684931506849315,,,,,
2026-09-04 09:41:00,17.05,17.1,17.05,17.1,39375,3501750,434.8,0.0684931506849315,,,,,
2026-09-04 09:42:00,17.3,17.3,17.25,17.25,15750,3493875,434.85,0.0684931506849315,,,,,
2026-09-04 09:43:00,16.9,16.9,16.75,16.75,31500,3496500,434.65,0.0684931506849315,,,,,
2026-09-04 09:44:00,16.75,16.75,16.35,16.35,28875,3493875,433.8,0.0684931506849315,,,,,
