Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-08-28 09:15:00,15.0,17.05,14.1,16.55,364875,1197000,436.4,0.08767123287671233,,,,,
2026-08-28 09:16:00,16.6,16.7,15.65,15.7,94500,1215375,434.45,0.08767123287671233,,,,,
2026-08-28 09:17:00,15.4,16.05,15.1,15.95,84000,1249500,435.35,0.08767123287671233,,,,,
2026-08-28 09:18:00,16.3,16.6,15.9,15.9,115500,1254750,435.25,0.08767123287671233,,,,,
2026-08-28 09:19:00,16.2,16.2,15.8,15.8,60375,1302000,434.7,0.08767123287671233,,,,,
2026-08-28 09:20:00,15.65,15.65,15.5,15.6,18375,1336125,434.3,0.08767123287671233,,,,,
2026-08-28 09:21:00,15.6,15.6,15.1,15.1,73500,1338750,433.9,0.08767123287671233,,,,,
2026-08-28 09:22:00,15.15,15.5,14.9,15.15,44625,1359750,433.8,0.08767123287671233,,,,,
2026-08-28 09:23:00,15.2,15.2,14.8,14.8,21000,1351875,433.25,0.08767123287671233,,,,,
2026-08-28 09:24:00,15.0,15.4,14.9,15.15,68250,1357125,433.75,0.08767123287671233,,,,,
2026-08-28 09:25:00,15.15,15.35,15.1,15.35,13125,1346625,434.25,0.08767123287671233,,,,,
2026-08-28 09:26:00,15.3,15.7,15.3,15.6,18375,1351875,434.75,0.08767123287671233,,,,,
2026-08-28 09:27:00,15.35,15.5,15.1,15.15,23625,1354500,434.15,0.08767123287671233,,,,,
2026-08-28 09:28:00,15.15,15.15,14.85,15.0,31500,1354500,433.45,0.08767123287671233,,,,,
2026-08-28 09:29:00,15.15,15.15,15.15,15.15,2625,1357125,433.8,0.08767123287671233,,,,,
2026-08-28 09:30:00,14.9,14.9,14.7,14.7,26250,1362375,433.5,0.08767123287671233,,,,,
2026-08-28 09:31:00,14.7,14.8,14.5,14.8,34125,1359750,433.15,0.08767123287671233,,,,,
2026-08-28 09:32:00,14.8,14.8,14.6,14.6,13125,1354500,433.0,0.08767123287671233,,,,,
2026-08-28 09:33:00,14.6,14.6,14.6,14.6,7875,1367625,433.05,0.08767123287671233,,,,,
2026-08-28 09:34:00,14.5,14.55,14.35,14.35,28875,1362375,432.9,0.08767123287671233,,,,,
2026-08-28 09:35:00,14.4,14.4,14.4,14.4,5250,1354500,432.9,0.08767123287671233,,,,,
2026-08-28 09:36:00,14.4,14.4,14.25,14.25,15750,1357125,432.55,0.08767123287671233,,,,,
2026-08-28 09:37:00,14.25,15.0,14.25,15.0,42000,1372875,433.5,0.08767123287671233,,,,,
2026-08-28 09:38:00,15.0,15.0,15.0,15.0,0,1372875,433.4,0.08767123287671233,,,,,
2026-08-28 09:39:00,14.85,14.85,14.85,14.85,2625,1357125,433.0,0.08767123287671233,,,,,
2026-08-28 09:40:00,14.5,14.5,14.45,14.45,5250,1357125,433.0,0.08767123287671233,,,,,
2026-08-28 09:41:00,14.55,14.55,14.55,14.55,5250,1359750,433.0,0.08767123287671233,,,,,
