Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-09-23 09:15:00,360.0,384.15,329.95,361.3,67710,810660,56320.7,0.01643835616438356,,,,,
2026-09-23 09:16:00,364.4,364.4,330.0,337.45,51600,832080,56323.35,0.01643835616438356,,,,,
2026-09-23 09:17:00,337.0,342.85,326.7,329.1,38190,839040,56364.45,0.01643835616438356,,,,,
2026-09-23 09:18:00,328.75,333.0,312.2,325.15,34710,842310,56379.3,0.01643835616438356,,,,,
2026-09-23 09:19:00,325.55,325.55,312.7,316.05,25740,849150,56377.05,0.01643835616438356,,,,,
2026-09-23 09:20:00,318.0,320.05,303.0,315.75,38130,849180,56409.5,0.01643835616438356,,,,,
2026-09-23 09:21:00,315.3,325.0,310.0,323.3,24840,853260,56415.25,0.01643835616438356,,,,,
2026-09-23 09:22:00,322.5,325.8,312.0,319.45,23580,857520,56413.3,0.01643835616438356,,,,,
2026-09-23 09:23:00,320.0,331.85,314.0,331.1,24930,863190,56371.65,0.01643835616438356,,,,,
2026-09-23 09:24:00,330.3,338.75,327.05,334.0,39780,869580,56349.0,0.01643835616438356,,,,,
2026-09-23 09:25:00,334.15,353.5,329.4,339.2,50310,870900,56330.35,0.01643835616438356,,,,,
2026-09-23 09:26:00,339.05,352.0,333.0,347.9,25230,867270,56327.2,0.01643835616438356,,,,,
2026-09-23 09:27:00,346.45,348.3,331.85,340.1,19050,844080,56337.8,0.01643835616438356,,,,,
2026-09-23 09:28:00,340.65,341.55,330.0,335.95,22140,847350,56346.5,0.01643835616438356,,,,,
2026-09-23 09:29:00,335.85,342.0,329.0,339.25,19980,847410,56345.45,0.01643835616438356,,,,,
2026-09-23 09:30:00,338.1,338.25,313.8,316.2,61500,851820,56384.05,0.01643835616438356,,,,,
2026-09-23 09:31:00,315.2,331.0,310.0,327.75,32280,841200,56367.95,0.01643835616438356,,,,,
2026-09-23 09:32:00,326.35,326.4,312.3,314.0,23670,842940,56386.05,0.01643835616438356,,,,,
2026-09-23 09:33:00,314.2,321.0,308.45,311.85,20550,850680,56380.95,0.01643835616438356,,,,,
2026-09-23 09:34:00,311.5,316.2,308.8,309.0,14280,850680,56393.35,0.01643835616438356,,,,,
2026-09-23 09:35:00,309.0,316.4,304.05,313.35,20190,854190,56385.9,0.01643835616438356,,,,,
2026-09-23 09:36:00,312.5,326.6,309.75,316.0,27300,858330,56391.3,0.01643835616438356,,,,,
2026-09-23 09:37:00,315.45,318.0,311.7,312.6,6840,863040,56399.7,0.01643835616438356,,,,,
2026-09-23 09:38:00,311.2,314.0,305.05,309.0,13020,864030,56393.65,0.01643835616438356,,,,,
2026-09-23 09:39:00,309.95,324.9,307.45,323.95,12900,867390,56371.95,0.01643835616438356,,,,,
2026-09-23 09:40:00,323.8,323.8,308.8,312.1,11610,867570,56391.0,0.01643835616438356,,,,,
2026-09-23 09:41:00,311.85,314.85,305.0,309.1,16470,869910,56389.0,0.01643835616438356,,,,,
2026-09-23 09:42:00,308.6,309.8,300.5,305.4,21870,875190,56402.2,0.01643835616438356,,,,,
2026-09-23 09:43:00,305.15,309.05,304.05,307.0,10170,875880,56402.75,0.01643835616438356,,,,,
2026-09-23 09:44:00,306.1,311.2,297.0,301.1,20490,876240,56401.65,0.01643835616438356,,,,,
2026-09-23 09:45:00,300.25,300.7,292.1,299.95,19170,880650,56420.25,0.01643835616438356,,,,,
2026-09-23 09:46:00,299.25,301.6,293.05,300.15,9720,882690,56423.05,0.01643835616438356,,,,,
2026-09-23 09:47:00,298.65,299.8,294.75,296.4,8310,884310,56423.0,0.01643835616438356,,,,,
2026-09-23 09:48:00,296.2,310.1,293.2,310.1,19080,886920,56399.55,0.01643835616438356,,,,,
2026-09-23 09:49:00,310.5,322.95,309.0,313.0,29910,886980,56385.65,0.01643835616438356,,,,,
2026-09-23 09:50:00,312.1,322.7,311.1,317.7,22620,888210,56377.45,0.01643835616438356,,,,,
2026-09-23 09:51:00,318.55,320.95,310.75,314.9,23940,890850,56392.2,0.01643835616438356,,,,,
2026-09-23 09:52:00,314.1,317.95,307.0,309.95,15780,894270,56398.25,0.01643835616438356,,,,,
2026-09-23 09:53:00,310.8,319.35,305.8,317.7,13740,895590,56379.35,0.01643835616438356,,,,,
2026-09-23 09:54:00,317.7,335.3,316.35,325.55,51060,900030,56352.9,0.01643835616438356,,,,,
2026-09-23 09:55:00,325.4,328.85,320.7,321.8,19650,900390,56363.8,0.01643835616438356,,,,,
2026-09-23 09:56:00,321.45,321.6,308.3,308.3,20070,901620,56397.8,0.01643835616438356,,,,,
2026-09-23 09:57:00,308.05,308.8,299.0,304.4,26850,899640,56423.5,0.01643835616438356,,,,,
2026-09-23 09:58:00,305.9,308.0,296.05,297.05,19020,908910,56432.8,0.01643835616438356,,,,,
2026-09-23 09:59:00,297.9,299.2,283.2,285.6,45690,908910,56455.65,0.01643835616438356,,,,,
2026-09-23 10:00:00,285.6,289.15,265.45,275.6,104460,921000,56486.5,0.01643835616438356,,,,,
2026-09-23 10:01:00,275.65,282.75,272.1,281.75,38760,921870,56479.7,0.01643835616438356,,,,,
2026-09-23 10:02:00,281.75,283.6,275.0,279.35,35130,927660,56476.45,0.01643835616438356,,,,,
2026-09-23 10:03:00,279.65,282.8,273.0,275.85,35610,943170,56483.35,0.01643835616438356,,,,,
2026-09-23 10:04:00,275.85,279.0,271.4,275.45,25020,947670,56479.8,0.01643835616438356,,,,,
2026-09-23 10:05:00,274.3,277.9,271.0,272.9,20190,961290,56479.65,0.01643835616438356,,,,,
2026-09-23 10:06:00,272.1,278.25,269.55,277.95,34770,965250,56460.55,0.01643835616438356,,,,,
2026-09-23 10:07:00,278.5,282.9,276.3,282.9,26940,973620,56454.3,0.01643835616438356,,,,,
2026-09-23 10:08:00,282.7,288.75,277.0,281.25,29580,971370,56465.75,0.01643835616438356,,,,,
2026-09-23 10:09:00,280.7,282.7,275.3,278.25,16380,969120,56469.45,0.01643835616438356,,,,,
2026-09-23 10:10:00,278.05,285.0,274.35,284.0,32100,970890,56457.35,0.01643835616438356,,,,,
